Date and time,Total production,Total consumption,Own consumption,Energy to grid,Energy from grid
2021-12-15,63643.895 ,13330.895 ,7088.895 ,56555.00,6242.00
2021-12-16,39522.2586,12391.2586,6289.2586,33233.00,6102.00
2021-12-17,48054.4314,9670.4314,5475.4314,42579.00,4195.00
2021-12-18,58562.42,23960.42,15375.42,43187.00,8585.00
2021-12-19,39708.3572,23969.3572,11996.3572,27712.00,11973.00
2021-12-20,65747.8997,7246.8997,5104.8997,60643.00,2142.00
2021-12-21,72468.7603,14662.7603,6236.7603,66232.00,8426.00
2021-12-22,38437.1094,13405.1094,5753.1094,32684.00,7652.00
2021-12-23,25968.6206,15751.6206,7739.6206,18229.00,8012.00
2021-12-24,57834.1514,20337.1514,14414.1514,43420.00,5923.00
2021-12-25,65837.7247,26600.7247,13926.7247,51911.00,12674.00
2021-12-26,44669.3147,19383.3147,12516.3147,32153.00,6867.00
2021-12-27,42385.8258,11394.8258,5453.8258,36932.00,5941.00
2021-12-28,59137.1444,11415.1444,7874.1444,51263.00,3541.00
2021-12-29,42029.6414,10578.6414,5978.6414,36051.00,4600.00
2021-12-30,68443.0608,7936.0608,6058.0608,62385.00,1878.00
2021-12-31,72335.5772,5018.5772,3202.5772,69133.00,1816.00
2022-01-01,53254.0956,4612.0956,2951.0956,50303.00,1661.00
2022-01-02,70089.6586,5060.6586,3203.6586,66886.00,1857.00
2022-01-03,65927.0661,4927.0661,3145.0661,62782.00,1782.00
2022-01-04,45011.2719,11890.2719,7070.2719,37941.00,4820.00
2022-01-05,25463.8939,10887.8939,5886.8939,19577.00,5001.00
2022-01-06,30006.5728,12681.5728,6334.5728,23672.00,6347.00
2022-01-07,14046.1742,11375.1742,4731.1742,9315.00,6644.00
2022-01-08,57971.1539,26307.1539,16414.1539,41557.00,9893.00
2022-01-09,35124.9183,20991.9183,11730.9183,23394.00,9261.00
2022-01-10,44547.3028,16622.3028,8528.3028,36019.00,8094.00
2022-01-11,41075.5656,19124.5656,10223.5656,30852.00,8901.00
2022-01-12,28700.7858,11873.7858,6155.7858,22545.00,5718.00
2022-01-13,30516.2503,11797.2503,7241.2503,23275.00,4556.00
2022-01-14,53326.3167,15740.3167,10612.3167,42714.00,5128.00
2022-01-15,44199.0022,25650.0022,15532.0022,28667.00,10118.00
2022-01-16,63148.8403,23066.8403,15111.8403,48037.00,7955.00
2022-01-17,49051.57,23057.57,11871.57,37180.00,11186.00
2022-01-18,24438.3867,17774.3867,10013.3867,14425.00,7761.00
2022-01-19,23618.7872,11400.7872,6151.7872,17467.00,5249.00
2022-01-20,41871.9958,9038.9958,5662.9958,36209.00,3376.00
2022-01-21,35992.6694,10990.6694,5511.6694,30481.00,5479.00
2022-01-22,60014.8047,10555.8047,6869.8047,53145.00,3686.00
2022-01-23,50153.71,12762.71,7930.71,42223.00,4832.00
2022-01-24,44227.6631,11864.6631,7296.6631,36931.00,4568.00
2022-01-25,47133.8494,8085.8494,4764.8494,42369.00,3321.00
2022-01-26,57840.6847,4262.6847,2756.6847,55084.00,1506.00
2022-01-27,38029.6919,12737.6919,7245.6919,30784.00,5492.00
2022-01-28,55319.8572,18365.8572,7465.8572,47854.00,10900.00
2022-01-29,58528.8792,29793.8792,16586.8792,41942.00,13207.00
2022-01-30,60642.9153,28746.9153,17766.9153,42876.00,10980.00
2022-01-31,53159.1903,15432.1903,8872.1903,44287.00,6560.00
2022-02-01,51954.6064,25547.6064,15989.6064,35965.00,9558.00
2022-02-02,20810.4872,10774.4872,4398.4872,16412.00,6376.00
2022-02-03,55412.2242,12173.2242,7115.2242,48297.00,5058.00
2022-02-04,50932.7739,10809.7739,5642.7739,45290.00,5167.00
2022-02-05,38921.2011,12274.2011,7308.2011,31613.00,4966.00
2022-02-06,49200.5342,10181.5342,6496.5342,42704.00,3685.00
2022-02-07,35070.7086,9452.7086,6030.7086,29040.00,3422.00
2022-02-08,43786.1458,12230.1458,8451.1458,35335.00,3779.00
2022-02-09,57692.8489,12267.8489,7556.8489,50136.00,4711.00
2022-02-10,50917.5717,17573.5717,8681.5717,42236.00,8892.00
2022-02-11,26661.2569,9491.2569,4260.2569,22401.00,5231.00
2022-02-12,23203.5233,13992.5233,5749.5233,17454.00,8243.00
2022-02-13,43821.5428,15526.5428,9489.5428,34332.00,6037.00
2022-02-14,50874.5044,10705.5044,6893.5044,43981.00,3812.00
2022-02-15,52361.4625,14563.4625,10181.4625,42180.00,4382.00
2022-02-16,43815.8975,11208.8975,6209.8975,37606.00,4999.00
2022-02-17,51031.4986,19914.4986,9210.4986,41821.00,10704.00
2022-02-18,58324.3239,15665.3239,8836.3239,49488.00,6829.00
2022-02-19,22160.25,13015.25,5784.25,16376.00,7231.00
2022-02-20,59823.7178,15019.7178,9599.7178,50224.00,5420.00
2022-02-21,43150.5231,13424.5231,6356.5231,36794.00,7068.00
2022-02-22,4437.9956,11434.9956,3241.9956,1196.00,8193.00
2022-02-23,29762.6583,12808.6583,6600.6583,23162.00,6208.00
2022-02-24,27123.8433,11481.8433,4382.8433,22741.00,7099.00
2022-02-25,14589.8664,14300.8664,5894.8664,8695.00,8406.00
2022-02-26,14208.9069,17634.9069,8284.9069,5924.00,9350.00
2022-02-27,38937.7564,16365.7564,8303.7564,30634.00,8062.00
2022-02-28,25677.4767,11248.4767,5531.4767,20146.00,5717.00
2022-03-01,23163.1111,12177.1111,6819.1111,16344.00,5358.00
2022-03-02,8628.3994,15807.3994,5119.3994,3509.00,10688.00
2022-03-03,27689.8881,11053.8881,5894.8881,21795.00,5159.00
2022-03-04,32706.1361,10589.1361,3464.1361,29242.00,7125.00
2022-03-05,30964.6164,14531.6164,7685.6164,23279.00,6846.00
2022-03-06,27845.0575,19196.0575,9367.0575,18478.00,9829.00
2022-03-07,23031.6547,13941.6547,5769.6547,17262.00,8172.00
2022-03-08,8837.9761,14592.9761,5169.9761,3668.00,9423.00
2022-03-09,33061.3569,11099.3569,6194.3569,26867.00,4905.00
2022-03-10,50579.1353,16930.1353,10901.1353,39678.00,6029.00
2022-03-11,49251.9794,10807.9794,5734.9794,43517.00,5073.00
2022-03-12,44995.5758,12152.5758,6195.5758,38800.00,5957.00
2022-03-13,26974.4336,13842.4336,8976.4336,17998.00,4866.00
2022-03-14,35737.4928,8246.4928,3905.4928,31832.00,4341.00
2022-03-15,47190.805 ,10626.805 ,3935.805 ,43255.00,6691.00
2022-03-16,26924.8814,12367.8814,6887.8814,20037.00,5480.00
2022-03-17,41142.5936,17186.5936,9865.5936,31277.00,7321.00
2022-03-18,42101.9825,11374.9825,4659.9825,37442.00,6715.00
2022-03-19,20350.4878,18982.4878,10327.4878,10023.00,8655.00
2022-03-20,48982.3992,16083.3992,9571.3992,39411.00,6512.00
2022-03-21,34259.2869,14215.2869,7221.2869,27038.00,6994.00
2022-03-22,46784.3131,14040.3131,8442.3131,38342.00,5598.00
2022-03-23,38896.5039,11359.5039,5073.5039,33823.00,6286.00
2022-03-24,11652.0553,11696.0553,4305.0553,7347.00,7391.00
2022-03-25,16070.3317,8513.3317,3063.3317,13007.00,5450.00
2022-03-26,15779.7208,15910.7208,6539.7208,9240.00,9371.00
